EP001	EP002	EP003	EP004	EP005	EP006	EP007	EP008	EP009	EP010	EP011	EP012	EP013	EP014	EP015	EP016	EP017	EP018	EP019	EP020	EP021	EP022	EP023	EP024	EP025	EP026	EP027	EP028	EP029	EP030	EP031	EP032	EP033	EP034	EP035	EP036	EP037	EP038	EP039	EP040	EP041	EP042	EP043	EP044	EP045	EP046	EP047	EP048	EP049	EP050	EP051	EP052	EP053	EP054	EP055	EP056	EP057	EP058	EP059	EP060	EP061	EP062	EP063	EP064	EP065	EP066	EP067	EP068	EP069	EP070	EP071	EP072	EP073	EP074	EP075	EP076	EP077	EP078	EP079	EP080	EP081	EP082	EP083	EP084	EP085	EP086	EP087	EP088	EP089	EP090	EP091	EP092	EP093	EP094	EP095	EP096	EP097	EP098	EP099	EP100	EP101	EP102	EP103	EP104
cg21189438	0.61052	0.2459	0.48576	0.17597	0.16154	0.49205	0.23642	0.24719	0.50902	0.49225	0.28029	0.72711	0.56109	0.25676	0.53196	0.1798	0.66815	0.26696	0.71418	0.71698	0.58096	0.17532	0.54068	0.22695	0.29443	0.12439	0.57262	0.11942	0.58627	0.19682	0.71617	0.55255	0.61366	0.50942	0.13322	0.18974	0.70097	0.12281	0.18259	0.44447	0.55399	0.63475	0.5971	0.37258	0.72175	0.17326	0.10996	0.35766	0.08233	0.49648	0.13509	0.62697	0.28625	0.20962	0.27913	0.52129	0.1897	0.21624	0.50382	0.20799	0.46868	0.56138	0.6793	0.1895	0.22903	0.08238	0.25539	0.61242	0.68943	0.47391	0.66226	0.61755	0.25316	0.46882	0.54605	0.40186	0.54057	0.14223	0.41014	0.56955	0.63673	0.35245	0.28818	0.20878	0.52727	0.52766	0.71023	0.3171	0.74506	0.56433	0.50322	0.64092	0.5401	0.56678	0.1143	0.53487	0.49666	0.20203	0.69865	0.62987	0.39735	0.38452	0.21795	0.52608
cg13563298	0.50688	0.60314	0.23771	0.47303	0.27076	0.18138	0.37155	0.27783	0.22376	0.44428	0.86184	0.22486	0.3163	0.85431	0.84216	0.25689	0.28555	0.30062	0.79338	0.15859	0.26518	0.25918	0.74128	0.40508	0.30675	0.24271	0.2669	0.40952	0.82087	0.21025	0.76685	0.6194	0.396	0.32347	0.38454	0.41503	0.87266	0.22638	0.72343	0.67444	0.65417	0.85153	0.44895	0.23367	0.78905	0.29152	0.17798	0.30878	0.24568	0.40816	0.47264	0.59743	0.78258	0.27238	0.35134	0.23718	0.4165	0.64089	0.22527	0.2411	0.45259	0.76795	0.64241	0.42314	0.2335	0.21349	0.2201	0.38128	0.22994	0.3727	0.26192	0.21653	0.57893	0.70407	0.5018	0.32697	0.43397	0.20387	0.67272	0.25486	0.68689	0.23944	0.3491	0.27296	0.69412	0.79134	0.78269	0.33531	0.21925	0.25993	0.65878	0.2823	0.79554	0.63154	0.39276	0.31702	0.6033	0.20026	0.24194	0.20144	0.66317	0.2653	0.48162	0.34585
cg26679884	0.2825	0.28723	0.25755	0.8028	0.28425	0.75828	0.33102	0.74268	0.2853	0.78288	0.79507	0.28593	0.34275	0.31636	0.27487	0.28309	0.77698	0.7447	0.33558	0.317	0.75385	0.29633	0.3516	0.75753	0.33099	0.75861	0.29562	0.299	0.34389	0.28393	0.60124	0.3003	0.28311	0.27687	0.33596	0.26753	0.30104	0.2987	0.80583	0.32886	0.2923	0.74866	0.33062	0.31012	0.30554	0.32502	0.32596	0.77905	0.31346	0.30889	0.7388	0.75216	0.25316	0.31897	0.31963	0.28184	0.2945	0.77163	0.32183	0.73822	0.26967	0.31345	0.30353	0.34073	0.74492	0.3084	0.29999	0.38693	0.32111	0.29529	0.73403	0.29812	0.34163	0.32063	0.30083	0.28791	0.28872	0.26583	0.65371	0.2976	0.75457	0.29551	0.25193	0.28434	0.72982	0.31881	0.32874	0.77463	0.3061	0.28784	0.29753	0.30432	0.26533	0.33678	0.71495	0.384	0.73465	0.70551	0.71837	0.28164	0.74555	0.29849	0.28375	0.77014
cg16397968	0.87143	0.87319	0.53996	0.09916	0.86655	0.8657	0.49838	0.84682	0.8907	0.59024	0.88432	0.5956	0.86366	0.65896	0.87997	0.4827	0.86851	0.59558	0.65022	0.4435	0.89532	0.09096	0.6288	0.86448	0.88373	0.8891	0.58786	0.88463	0.88541	0.82439	0.63249	0.09585	0.88246	0.64351	0.5888	0.48977	0.47225	0.88541	0.59891	0.88075	0.88046	0.53926	0.89465	0.61706	0.88664	0.65054	0.4929	0.87228	0.88169	0.88299	0.88154	0.8859	0.50773	0.68297	0.87953	0.87642	0.55037	0.88818	0.88498	0.88087	0.89771	0.87932	0.10107	0.89089	0.89253	0.87618	0.87161	0.64926	0.871	0.87432	0.90317	0.88468	0.88992	0.50169	0.64363	0.63861	0.88043	0.87002	0.88247	0.34416	0.87774	0.59416	0.87393	0.50876	0.51862	0.58072	0.89093	0.87406	0.53021	0.51069	0.61827	0.10526	0.87961	0.86889	0.60418	0.61421	0.90223	0.47319	0.87201	0.86435	0.57343	0.84208	0.59582	0.90443
cg00456343	0.64607	0.78213	0.2719	0.73895	0.29683	0.31853	0.35274	0.37789	0.29789	0.7406	0.77863	0.73729	0.76825	0.29991	0.6826	0.31137	0.77911	0.36903	0.74025	0.75198	0.36912	0.76241	0.36038	0.34273	0.7964	0.80221	0.27982	0.73827	0.3382	0.28609	0.33343	0.33101	0.75977	0.72666	0.77009	0.7504	0.36134	0.7564	0.76001	0.67614	0.76627	0.76905	0.72437	0.3128	0.76435	0.32411	0.36921	0.66664	0.77164	0.27665	0.65097	0.29633	0.72464	0.46591	0.70765	0.3249	0.77176	0.3313	0.75525	0.77163	0.35623	0.77138	0.7514	0.33483	0.34601	0.30518	0.73011	0.37589	0.71346	0.42342	0.71425	0.76398	0.35354	0.33619	0.30432	0.69896	0.73109	0.72539	0.76168	0.68842	0.29927	0.71972	0.59457	0.66854	0.32037	0.61374	0.73	0.73295	0.26077	0.74283	0.66219	0.74926	0.71708	0.67797	0.30922	0.70211	0.76669	0.25047	0.28721	0.30275	0.31826	0.63475	0.72252	0.6939
cg19704726	0.14281	0.33309	0.35182	0.12983	0.0692	0.41935	0.58885	0.48667	0.07729	0.5003	0.59559	0.52469	0.14915	0.57438	0.35571	0.09063	0.49956	0.07026	0.62021	0.58004	0.0522	0.35556	0.44448	0.36847	0.0545	0.25204	0.47734	0.0561	0.20516	0.18529	0.54423	0.49689	0.07112	0.09639	0.05772	0.30751	0.33412	0.05668	0.55901	0.07234	0.10118	0.54369	0.07645	0.21996	0.44302	0.05839	0.44275	0.0723	0.05176	0.07233	0.06532	0.43836	0.06682	0.06438	0.09817	0.21981	0.11377	0.19319	0.06641	0.46942	0.06369	0.2946	0.06255	0.17687	0.067	0.06118	0.51631	0.2688	0.46563	0.06079	0.05545	0.56322	0.06385	0.37667	0.49006	0.07197	0.05953	0.50888	0.22502	0.44285	0.18008	0.19398	0.0589	0.32865	0.05741	0.4155	0.52075	0.09954	0.57113	0.07005	0.07459	0.06391	0.5698	0.07678	0.06203	0.21256	0.45722	0.13336	0.40909	0.0602	0.06096	0.0729	0.54336	0.12898
cg12711252	0.45002	0.24251	0.13308	0.12552	0.49788	0.14928	0.68535	0.5783	0.71964	0.50949	0.28122	0.57889	0.50669	0.17291	0.44609	0.49824	0.66401	0.56601	0.64491	0.68378	0.59582	0.15049	0.54616	0.59061	0.64219	0.21559	0.6596	0.63102	0.58451	0.65481	0.63154	0.1124	0.22916	0.63008	0.6681	0.55603	0.73446	0.53685	0.67259	0.50102	0.50176	0.5942	0.48436	0.70666	0.09276	0.58971	0.18048	0.52725	0.60986	0.6793	0.65296	0.54271	0.68458	0.44377	0.51418	0.60972	0.14888	0.56075	0.57168	0.58085	0.60224	0.60624	0.57548	0.62969	0.56711	0.6264	0.69113	0.0959	0.68923	0.58463	0.71268	0.1456	0.14155	0.10923	0.58403	0.58093	0.13953	0.54005	0.67141	0.50573	0.09351	0.42701	0.67669	0.56927	0.40285	0.61356	0.70121	0.18122	0.20701	0.48677	0.21025	0.58375	0.17751	0.08651	0.56779	0.57967	0.49486	0.5923	0.47033	0.15416	0.4063	0.58536	0.53847	0.61953
cg15468521	0.55525	0.19651	0.46942	0.11097	0.48761	0.16475	0.56383	0.59118	0.08677	0.1021	0.59797	0.13606	0.51263	0.62248	0.54043	0.11887	0.5046	0.0851	0.54216	0.32559	0.12383	0.09726	0.52836	0.17504	0.57498	0.08846	0.55754	0.08086	0.19505	0.55996	0.66045	0.59547	0.14435	0.54064	0.10097	0.14077	0.53742	0.10986	0.63814	0.13048	0.13265	0.58273	0.13041	0.08263	0.50426	0.09304	0.09842	0.10656	0.08095	0.10246	0.1376	0.4479	0.08377	0.22311	0.092	0.17121	0.21591	0.08431	0.62735	0.08467	0.13505	0.24964	0.13762	0.20501	0.08453	0.12243	0.45128	0.35646	0.54391	0.10324	0.08894	0.5347	0.09878	0.49636	0.33049	0.20735	0.41088	0.08068	0.1913	0.59767	0.3946	0.14984	0.47909	0.24042	0.21599	0.43689	0.61012	0.58622	0.14187	0.09766	0.14724	0.13539	0.66394	0.10111	0.08386	0.44737	0.5632	0.33544	0.28074	0.12778	0.10507	0.21613	0.08326	0.10669
cg20718214	0.36734	0.07498	0.48991	0.51861	0.59868	0.58889	0.28406	0.61031	0.65381	0.46997	0.07848	0.32794	0.4685	0.08954	0.47355	0.54484	0.61846	0.47723	0.06776	0.45731	0.60152	0.62252	0.10461	0.57844	0.5679	0.07183	0.48372	0.37245	0.0739	0.45852	0.06649	0.17995	0.44977	0.38508	0.41682	0.46265	0.56182	0.63844	0.07455	0.25799	0.48889	0.26131	0.43826	0.42033	0.0962	0.53316	0.702	0.11721	0.11949	0.08792	0.19321	0.1242	0.21296	0.43625	0.55058	0.0746	0.35891	0.31062	0.44707	0.49139	0.55217	0.07753	0.07153	0.58062	0.6041	0.5189	0.5892	0.4792	0.62686	0.28901	0.53268	0.57859	0.40921	0.0778	0.46131	0.41769	0.35419	0.47066	0.18268	0.55008	0.2536	0.45091	0.46337	0.49208	0.28357	0.07551	0.07428	0.50199	0.52232	0.55585	0.11013	0.56895	0.47174	0.37723	0.08306	0.1701	0.07112	0.61616	0.52822	0.4849	0.4535	0.31158	0.12434	0.19984
cg16550453	0.90357	0.91382	0.38043	0.52801	0.46896	0.32417	0.88102	0.38807	0.4724	0.57375	0.92459	0.3857	0.52699	0.90663	0.89895	0.5248	0.47495	0.62071	0.88539	0.88672	0.43329	0.42533	0.84174	0.46811	0.53476	0.90509	0.86004	0.56689	0.90907	0.419	0.90855	0.78888	0.55771	0.75036	0.44772	0.8852	0.82194	0.44363	0.60094	0.78568	0.86631	0.88891	0.86331	0.4245	0.8972	0.53169	0.37444	0.62173	0.38712	0.41961	0.56973	0.89438	0.39681	0.5247	0.51364	0.9	0.60805	0.89841	0.4112	0.59372	0.5148	0.90911	0.87576	0.89519	0.45399	0.41584	0.41598	0.6243	0.41084	0.48153	0.42834	0.4227	0.57262	0.62521	0.61974	0.61621	0.79811	0.39025	0.77086	0.41569	0.91408	0.48516	0.45417	0.60709	0.7555	0.88141	0.75324	0.43235	0.34899	0.47786	0.88414	0.79777	0.84342	0.75957	0.36098	0.89811	0.89853	0.54708	0.55031	0.48414	0.6928	0.50061	0.9155	0.69877
cg27547703	0.83331	0.86215	0.2297	0.37913	0.32772	0.16008	0.78073	0.20958	0.30474	0.40945	0.88441	0.19579	0.38652	0.75446	0.74763	0.38464	0.28766	0.50671	0.86129	0.83456	0.29908	0.24148	0.80122	0.30125	0.4248	0.8676	0.82174	0.45521	0.87091	0.25752	0.85959	0.70218	0.37598	0.72202	0.28225	0.81601	0.77775	0.28624	0.51575	0.75461	0.83754	0.83806	0.79653	0.26225	0.83245	0.428	0.23142	0.55372	0.24433	0.27836	0.47307	0.86523	0.28255	0.38919	0.406	0.86473	0.5156	0.87776	0.25518	0.52543	0.39257	0.86198	0.79232	0.8548	0.28583	0.2646	0.27075	0.47809	0.25388	0.34018	0.28141	0.26819	0.51331	0.46983	0.51963	0.48641	0.78378	0.26058	0.71002	0.27049	0.85866	0.35729	0.31827	0.52509	0.73606	0.81397	0.66985	0.31546	0.21691	0.31797	0.84186	0.77314	0.77191	0.71456	0.21989	0.86794	0.8332	0.43048	0.46551	0.36294	0.61538	0.35289	0.87183	0.66376
cg07629625	0.10329	0.11933	0.08933	0.5806	0.60482	0.57653	0.1047	0.09406	0.56041	0.41347	0.59085	0.09751	0.7891	0.1052	0.54432	0.58487	0.55068	0.56059	0.55833	0.55277	0.56115	0.55909	0.53874	0.58815	0.55956	0.10973	0.10277	0.4818	0.102	0.80594	0.84672	0.0888	0.56706	0.82244	0.53783	0.59214	0.83865	0.6233	0.55379	0.0949	0.11497	0.55676	0.10304	0.58663	0.54656	0.47367	0.11641	0.81002	0.83504	0.11046	0.57501	0.79002	0.81245	0.67124	0.11723	0.81631	0.10857	0.10326	0.51794	0.80155	0.10318	0.80162	0.81949	0.53169	0.79707	0.81553	0.54981	0.11317	0.10846	0.18957	0.11454	0.10313	0.12698	0.10081	0.09428	0.55721	0.7915	0.09467	0.62971	0.53545	0.58195	0.76043	0.5753	0.12128	0.57061	0.55569	0.57557	0.12201	0.80267	0.79463	0.80448	0.11079	0.54794	0.11224	0.57785	0.53985	0.81817	0.80874	0.10856	0.62714	0.55214	0.61861	0.56198	0.6086
cg23100152	0.09736	0.09072	0.65047	0.08147	0.08459	0.08224	0.13668	0.52968	0.08263	0.08089	0.07883	0.67983	0.10845	0.10186	0.47007	0.46279	0.62167	0.08705	0.07275	0.1702	0.60594	0.08502	0.11293	0.20187	0.0936	0.08881	0.54471	0.08947	0.0893	0.09684	0.07754	0.08471	0.09107	0.44098	0.08622	0.07843	0.09098	0.09784	0.07892	0.08115	0.1037	0.07965	0.54268	0.07987	0.08421	0.07697	0.60698	0.11189	0.08935	0.33953	0.08258	0.07937	0.09126	0.08572	0.08252	0.08658	0.08556	0.08408	0.24383	0.08281	0.5856	0.08344	0.09217	0.57515	0.51489	0.09324	0.17249	0.42432	0.64606	0.14169	0.17445	0.63583	0.10006	0.09267	0.36047	0.07991	0.10016	0.52272	0.08536	0.21715	0.12793	0.51304	0.08532	0.08741	0.11484	0.09765	0.08593	0.61694	0.55206	0.50868	0.11615	0.53716	0.08405	0.30359	0.51708	0.09699	0.09081	0.14685	0.59042	0.14822	0.0848	0.20104	0.08331	0.10542
cg12071328	0.43962	0.65441	0.55695	0.53111	0.56933	0.67888	0.1891	0.65505	0.70172	0.28014	0.21837	0.23234	0.35007	0.17116	0.21663	0.35581	0.65822	0.37294	0.19371	0.37257	0.18773	0.69883	0.53138	0.13147	0.36005	0.11631	0.46114	0.25977	0.46836	0.58627	0.25587	0.42787	0.63544	0.22277	0.64096	0.64425	0.49952	0.64915	0.50484	0.44295	0.21835	0.58014	0.15934	0.49374	0.24579	0.64767	0.5377	0.18011	0.6076	0.61384	0.16454	0.14729	0.1212	0.49772	0.59738	0.16021	0.54695	0.22341	0.16463	0.14138	0.32517	0.61898	0.58159	0.39414	0.62799	0.12357	0.55099	0.56243	0.48344	0.50199	0.50822	0.13076	0.16756	0.16835	0.19967	0.31615	0.15488	0.44565	0.5541	0.51626	0.12248	0.62954	0.53546	0.37581	0.12299	0.19323	0.38092	0.15961	0.71807	0.14865	0.12218	0.23324	0.27162	0.17765	0.71292	0.29794	0.12888	0.31378	0.17054	0.13946	0.54774	0.13863	0.19948	0.10827
cg01766065	0.07582	0.08468	0.6051	0.51148	0.07526	0.68683	0.08423	0.06273	0.068	0.57797	0.61671	0.07083	0.19881	0.28293	0.16588	0.56178	0.0668	0.063	0.07469	0.63489	0.06362	0.06817	0.05755	0.08873	0.08589	0.07014	0.0804	0.49152	0.07466	0.07402	0.38001	0.28258	0.07416	0.06937	0.07155	0.06875	0.06869	0.52753	0.08096	0.21327	0.06954	0.07405	0.08727	0.43896	0.0548	0.33737	0.05887	0.34528	0.06744	0.57698	0.09744	0.06464	0.07043	0.06507	0.5271	0.07807	0.08839	0.07538	0.65119	0.61008	0.50199	0.06981	0.07763	0.06561	0.07181	0.07707	0.21286	0.0886	0.0609	0.4325	0.13687	0.07137	0.07352	0.06847	0.06908	0.07376	0.37786	0.11126	0.07643	0.59084	0.07627	0.07476	0.07396	0.50265	0.27579	0.09681	0.59505	0.06883	0.07778	0.59315	0.06374	0.07311	0.07835	0.07943	0.08019	0.06542	0.18858	0.55037	0.29345	0.63529	0.06952	0.1415	0.06992	0.08546
cg23930334	0.09237	0.30996	0.45811	0.58788	0.54534	0.57895	0.44175	0.6667	0.10776	0.58729	0.07781	0.35551	0.07786	0.24129	0.49013	0.54951	0.61641	0.12138	0.08543	0.42932	0.50754	0.43015	0.42544	0.12718	0.30573	0.24697	0.0764	0.55957	0.08654	0.64043	0.57203	0.30686	0.54734	0.51421	0.6076	0.1283	0.46024	0.60059	0.08881	0.27618	0.10479	0.11234	0.55514	0.56329	0.08947	0.50792	0.56628	0.29718	0.07246	0.15352	0.08184	0.4974	0.25318	0.54731	0.0868	0.44589	0.22758	0.32576	0.58828	0.07388	0.15287	0.09649	0.2207	0.56743	0.59286	0.07361	0.60661	0.49578	0.56608	0.33963	0.65659	0.56774	0.08018	0.07565	0.52177	0.41944	0.39085	0.55886	0.10369	0.5178	0.15557	0.56791	0.66189	0.51533	0.07302	0.07905	0.2752	0.54853	0.68863	0.55715	0.09626	0.60052	0.06832	0.43135	0.42251	0.32772	0.08376	0.36343	0.5808	0.11263	0.45262	0.52658	0.08147	0.13026
cg25174111	0.78814	0.81406	0.75303	0.35008	0.27303	0.30644	0.80922	0.30519	0.31566	0.79028	0.81436	0.26774	0.78075	0.31049	0.73252	0.75299	0.42057	0.32021	0.3371	0.7985	0.35497	0.78152	0.79595	0.78844	0.78481	0.78719	0.74107	0.74162	0.31407	0.30324	0.32471	0.29875	0.78251	0.32627	0.34216	0.76198	0.2838	0.79645	0.79322	0.81156	0.31688	0.35383	0.32048	0.7717	0.763	0.77438	0.31629	0.79964	0.79752	0.80044	0.77331	0.29485	0.77985	0.78415	0.33567	0.79012	0.80501	0.79407	0.31062	0.80781	0.33005	0.82699	0.77039	0.83539	0.79578	0.3183	0.34543	0.37256	0.77154	0.6036	0.35489	0.33427	0.75286	0.75565	0.81905	0.79355	0.7428	0.75619	0.79271	0.33715	0.28817	0.77089	0.28264	0.76031	0.76142	0.35154	0.36042	0.75604	0.80991	0.23864	0.7401	0.3344	0.79034	0.31789	0.32407	0.79863	0.32458	0.7845	0.32188	0.76883	0.79036	0.30038	0.288	0.76857
cg06921552	0.53293	0.70533	0.46597	0.16146	0.51426	0.57854	0.58828	0.67373	0.09689	0.13749	0.71076	0.45967	0.50395	0.70348	0.45815	0.558	0.14813	0.12703	0.72649	0.5781	0.17227	0.15885	0.58672	0.27017	0.11563	0.73707	0.11886	0.1175	0.59295	0.53804	0.70936	0.65289	0.49208	0.33803	0.10649	0.13671	0.61471	0.52975	0.66173	0.13439	0.3764	0.63684	0.19462	0.10846	0.71777	0.12051	0.12286	0.23095	0.11489	0.23081	0.29244	0.64557	0.55295	0.12159	0.13328	0.63093	0.18639	0.67254	0.66209	0.15364	0.55285	0.66068	0.52483	0.1146	0.11973	0.12414	0.38587	0.14714	0.12161	0.2839	0.21772	0.66852	0.11019	0.54451	0.47405	0.1484	0.16221	0.10958	0.32201	0.33729	0.55037	0.18396	0.12932	0.15923	0.42555	0.57853	0.68401	0.55613	0.15621	0.53603	0.19392	0.14042	0.67509	0.19987	0.11167	0.51684	0.66808	0.47879	0.16832	0.56978	0.13773	0.26717	0.66274	0.16706
cg14144513	0.54214	0.62621	0.46244	0.16492	0.50251	0.56429	0.54443	0.54217	0.07237	0.09204	0.58738	0.39551	0.49732	0.61963	0.44563	0.49604	0.14805	0.08727	0.61043	0.5381	0.1973	0.11076	0.5196	0.28294	0.07928	0.64175	0.0767	0.08694	0.49668	0.51646	0.62717	0.52834	0.47909	0.27393	0.08807	0.08742	0.53574	0.50087	0.57152	0.13715	0.36502	0.57679	0.14566	0.0813	0.60871	0.10337	0.09377	0.24158	0.09089	0.19719	0.21081	0.5219	0.47794	0.09024	0.08435	0.5349	0.13969	0.53665	0.51534	0.11369	0.44432	0.49575	0.45725	0.07929	0.10637	0.0942	0.35527	0.09755	0.07764	0.2574	0.19217	0.59964	0.0893	0.49765	0.42434	0.09434	0.1395	0.07414	0.25063	0.31518	0.48234	0.17588	0.10538	0.10175	0.38388	0.52549	0.56866	0.48377	0.09919	0.49441	0.22405	0.07958	0.60527	0.17399	0.09065	0.47476	0.53836	0.37562	0.13801	0.50794	0.12791	0.23606	0.56588	0.16035
cg23754431	0.51861	0.612	0.37518	0.10289	0.49751	0.56373	0.54986	0.56982	0.06982	0.08633	0.60477	0.41525	0.47502	0.60998	0.51207	0.51625	0.1344	0.06678	0.65858	0.57807	0.13914	0.09942	0.50131	0.26443	0.06941	0.66856	0.07984	0.06803	0.48737	0.53777	0.62228	0.54609	0.42082	0.30355	0.06684	0.08126	0.547	0.49537	0.58463	0.08773	0.32405	0.58431	0.12718	0.07197	0.65357	0.0745	0.0713	0.19604	0.07278	0.17072	0.22854	0.55645	0.51773	0.06456	0.07499	0.5982	0.11502	0.57781	0.54128	0.08071	0.44682	0.55468	0.47879	0.06453	0.06879	0.05666	0.36573	0.08534	0.07071	0.23168	0.16933	0.61108	0.08403	0.52432	0.44472	0.08378	0.09045	0.06633	0.2839	0.33892	0.46391	0.13783	0.08594	0.10135	0.37722	0.54252	0.59299	0.54383	0.09975	0.50261	0.20038	0.07749	0.60917	0.19474	0.0673	0.50336	0.57248	0.37344	0.09835	0.539	0.07202	0.23166	0.56877	0.09818
cg12568536	0.56261	0.62716	0.50972	0.86718	0.84105	0.85583	0.85924	0.11048	0.51734	0.87598	0.17	0.11971	0.53058	0.62553	0.47874	0.51392	0.12923	0.57147	0.59089	0.11301	0.11494	0.51121	0.87529	0.54225	0.52116	0.83781	0.84932	0.10659	0.12944	0.84516	0.85173	0.84169	0.54562	0.48894	0.13051	0.53277	0.48433	0.49354	0.13172	0.83768	0.52861	0.11693	0.86058	0.12537	0.85537	0.56455	0.13224	0.56089	0.53799	0.12935	0.13301	0.14587	0.56878	0.10952	0.53257	0.10935	0.1193	0.52367	0.48416	0.86119	0.51607	0.86876	0.12996	0.55798	0.86373	0.61356	0.84787	0.55643	0.85978	0.55811	0.12173	0.85787	0.61391	0.14517	0.87013	0.85033	0.22337	0.09535	0.77952	0.81978	0.60264	0.58934	0.12067	0.13824	0.56954	0.86458	0.59715	0.55217	0.5412	0.12397	0.14041	0.13146	0.55691	0.56471	0.56246	0.86162	0.13833	0.86505	0.58444	0.11528	0.13346	0.1156	0.14725	0.58062
cg08387285	0.06457	0.06934	0.57156	0.28303	0.07004	0.10956	0.10503	0.4993	0.46981	0.47165	0.49022	0.64237	0.56824	0.06791	0.37606	0.42872	0.46504	0.06193	0.58133	0.26721	0.60383	0.09998	0.08235	0.24782	0.50413	0.06726	0.59063	0.07016	0.08897	0.06773	0.09081	0.46653	0.16751	0.07599	0.07267	0.06747	0.07541	0.06833	0.06217	0.08973	0.07618	0.06711	0.07552	0.08271	0.0734	0.50383	0.53955	0.10239	0.53815	0.49009	0.07495	0.07152	0.07394	0.31072	0.45559	0.14873	0.09241	0.07315	0.50054	0.59339	0.57095	0.07221	0.07714	0.1182	0.60413	0.65585	0.23449	0.46329	0.52098	0.08883	0.52896	0.62686	0.07239	0.06401	0.37344	0.28282	0.09411	0.62729	0.18486	0.53621	0.25682	0.26303	0.0714	0.49737	0.25174	0.0766	0.08397	0.06569	0.68628	0.53768	0.10007	0.51119	0.48245	0.07299	0.10282	0.07279	0.61476	0.62039	0.47103	0.17843	0.07929	0.29597	0.48658	0.37832
cg20334849	0.08947	0.07078	0.52905	0.38547	0.11026	0.10286	0.10571	0.49173	0.49422	0.47666	0.35307	0.54936	0.55211	0.0887	0.3982	0.48163	0.47214	0.08632	0.47581	0.33128	0.53719	0.09385	0.09695	0.25968	0.49717	0.07243	0.55822	0.10326	0.06334	0.07325	0.08089	0.43877	0.19928	0.07787	0.08083	0.07715	0.06973	0.06697	0.08844	0.15872	0.17512	0.06618	0.07323	0.08697	0.08445	0.49883	0.52807	0.07929	0.52163	0.48603	0.08319	0.07235	0.07189	0.29942	0.43899	0.1648	0.09276	0.07594	0.45202	0.54048	0.52986	0.07842	0.08183	0.13056	0.56591	0.56186	0.31229	0.48173	0.50113	0.0859	0.49751	0.54459	0.08421	0.07701	0.45113	0.34643	0.16071	0.56081	0.18784	0.47829	0.16101	0.22036	0.06454	0.49273	0.23652	0.08577	0.07525	0.07906	0.57957	0.5058	0.07652	0.49351	0.39425	0.07585	0.08753	0.10016	0.49136	0.53982	0.49239	0.2615	0.08117	0.33802	0.47828	0.39036
cg06976250	0.35104	0.21302	0.60546	0.54195	0.47275	0.10566	0.44283	0.60209	0.28836	0.58417	0.72022	0.12853	0.22563	0.47978	0.36728	0.50213	0.48907	0.09454	0.69199	0.13969	0.51866	0.50079	0.16909	0.36894	0.15375	0.08039	0.08208	0.17288	0.11263	0.1605	0.68988	0.44517	0.1581	0.12436	0.18368	0.10523	0.11468	0.13027	0.53593	0.20102	0.14399	0.49964	0.1092	0.09066	0.3202	0.09807	0.08287	0.19026	0.08188	0.10145	0.12394	0.25138	0.08914	0.15736	0.53621	0.08934	0.13778	0.08719	0.54395	0.20951	0.15864	0.3172	0.47739	0.1614	0.18599	0.11123	0.44788	0.26044	0.07733	0.21633	0.10487	0.66142	0.26342	0.11885	0.34582	0.09917	0.09768	0.44853	0.07435	0.50283	0.10757	0.62198	0.1862	0.09829	0.08978	0.14214	0.2602	0.08879	0.11339	0.11642	0.09597	0.54815	0.66892	0.13102	0.12881	0.32895	0.65417	0.26378	0.38109	0.36072	0.15727	0.10147	0.55524	0.08495
cg07976064	0.36934	0.48557	0.55332	0.11891	0.61215	0.52759	0.4208	0.60008	0.34243	0.46104	0.4385	0.56165	0.12965	0.5861	0.36757	0.39239	0.35304	0.08174	0.66891	0.61932	0.48811	0.11822	0.47484	0.2062	0.24859	0.1432	0.52701	0.10173	0.22766	0.6282	0.6582	0.52088	0.3061	0.53258	0.08499	0.45054	0.43108	0.62252	0.58967	0.1157	0.21826	0.55243	0.0857	0.07574	0.10613	0.43009	0.12271	0.11916	0.07846	0.31385	0.33373	0.33067	0.2739	0.19181	0.0795	0.64277	0.28253	0.2798	0.55546	0.53388	0.19985	0.31882	0.45762	0.18425	0.10017	0.65911	0.50103	0.4256	0.52494	0.06304	0.16481	0.64007	0.16908	0.49106	0.43464	0.22119	0.10463	0.65686	0.27791	0.57264	0.23789	0.10382	0.54267	0.58796	0.19874	0.37756	0.55435	0.43164	0.48766	0.28083	0.12842	0.10015	0.57531	0.12286	0.47487	0.45041	0.17709	0.65251	0.07756	0.5791	0.12347	0.26102	0.47985	0.08559
